1	あれはあれ	それはそれだが	これはこれ	どれがどれだか	分からないけど	あれわあれ	それわそれだが	これわこれ	どれがどれだか	わからないけど	note1h0mtu22x7t83fyylp4q5vl3q2p38z4hs53jhnnhds0dmdcjv0lmsty5fdg
1	青空で	最弱カード	引いたので	早め早めに	寝るとしますか	あおぞらで	さいじゃくかーど	ひいたので	はやめはやめに	ねるとしますか	note1z2fv2hslhpp830umnsz7r62kxahw9gu7x8jgsr85r7nep97tf9dqmf2rtm
1	iPhoneの	天気予報は	信用が	ならない故に	ググって見てる	あいふぉんの	てんきよほーわ	しんよーが	ならないゆえに	ぐぐってみてる	note13ker4g2whq2h7uupspzkvfvfl368q7ahp5hljsjn5flhs4thr6tsncgjfz
1	点検に	行ってラーメン	お買い物	揚げパン食べて	夜は寿司かな	てんけんに	いってらーめん	おかいもの	あげぱんたべて	よるわすしかな	note1sexj83jtw34g6cnfekjwjvuqvmxld4uq6sm48qu7xfvlzcd6yjlshg7q6a
1	いくらどん	ああいくらどん	いくらどん	いくらどんだよ	いくらどんだね	いくらどん	あーいくらどん	いくらどん	いくらどんだよ	いくらどんだね	note1jjqzah7xyr32hcqxgajalvejy7gj5uahggx4hvc700qn6xeqq0hsxau5aw
1	お客様	返事をよこせ	お客様	早くしないと	もちもちするぞ	おきゃくさま	へんじをよこせ	おきゃくさま	はやくしないと	もちもちするぞ	note1jql7uc7t2nm3myqwaasp6znu9lgymxu080k2rcua89xu9fr9w29s3gashd
1	カフェインを	抜いたとてすぐ	入れるなら	起きる頭痛が	無駄な気がする	かふぇいんを	ぬいたとてすぐ	いれるなら	おきるずつーが	むだなきがする	note1xuzjf7maqal0jyr98mky8a3keearp0yrrfxp2z8thjue27hyfsfstfgudg
1	オーケーの	新作アイス	買ってきた	これから食べて	レポートします	おーけーの	しんさくあいす	かってきた	これからたべて	れぽーとします	note1k5m08u27ttp0e50x0pnjmncchf5uzsw74q0fyah4j0h3yzntysvqrvat2y
1	ナンパ師の	割とよくある	セリフいち	忘れられない	夜にしてやる	なんぱしの	わりとよくある	せりふいち	わすれられない	よるにしてやる	note12l3755ap6d9cj2s73nzetxs9y75rm7538quyahl5u4sm4wz4909q4jtwdc
1	右肩に	乗ってる猫の	心音を	勝手に聴いて	切なく思う	みぎかたに	のってるねこの	しんおんを	かってにきいて	せつなくおもう	note1swfed0ehz8tdfcle6e68z4eu8mnqve0qmr52pvwjzsmtxtvrcqeqfm353g
1	しお画像	ロクヨウ画像	しお画像	ロクヨウ画像	ロクヨウ画像	しおがぞー	ろくようがぞー	しおがぞー	ろくようがぞー	ろくようがぞー	note1n8ed47ztwd952z73r402cdnsrzx0qlc2s2tukad0v5gdsfh8xzwsw04mtc
1	ケインズの	バンコール来る	んちゃうって	思ってるただ	思ってるだけ	けいんずの	ばんこーるくる	んちゃうって	おもってるただ	おもってるだけ	note15vt0qkxjwfeh09hkkv6cq8s0g2m98q36j0qw5jjlctr02r74jhyq4g8799
1	インスタは	えらいなあはげ	でぶほーけ	ーの広告を	出してこなくて	いんすたわ	えらいなーはげ	でぶほーけ	ーのこーこくを	だしてこなくて	note13q3ug0lneua6ejpj83cnha7q5865nmu8xlu3wsa2ks2v95nrg5fs9vnpsc
1	総角は	大吉あとは	ボロカスに	書かれているな	わたしの名前	あげまきわ	だいきちあとわ	ぼろかすに	かかれているな	わたしのなまえ	note1uxqhwq309g0dv2gx4rjatvzhpgr2wuj48q7a8jueckjquaq3ersqkpvmnk
